time_us,pwm,pos
10004,0,0.0
20008,0,0.0
30008,0,0.0
40016,0,0.0
50020,0,0.0
60028,0,0.0
70028,0,0.0
80032,0,0.0
90040,0,0.0
100044,0,0.0
110044,0,0.0
120044,0,0.0
130044,0,0.0
140048,0,0.0
150048,0,0.0
160052,0,0.0
170056,0,0.0
180056,0,0.0
190064,0,0.0
200064,0,0.0
210064,0,0.0
220072,0,0.0
230080,0,0.0
240084,0,0.0
250092,0,0.0
260100,0,0.0
270108,0,0.0
280116,0,0.0
290116,0,0.0
300116,0,0.0
310116,0,0.0
320116,0,0.0
330116,0,0.0
340116,0,0.0
350124,0,0.0
360132,0,0.0
370132,0,0.0
380132,0,0.0
390132,0,0.0
400132,0,0.0
410140,0,0.0
420140,0,0.0
430140,0,0.0
440148,0,0.0
450156,0,0.0
460160,0,0.0
470168,0,0.0
480168,0,0.0
490176,0,0.0
500180,0,0.0
510188,0,0.0
520188,0,0.0
530196,0,0.0
540196,0,0.0
550196,0,0.0
560196,0,0.0
570196,0,0.0
580196,0,0.0
590200,0,0.0
600208,0,0.0
610208,0,0.0
620208,0,0.0
630208,0,0.0
640208,0,0.0
650208,0,0.0
660216,0,0.0
670216,0,0.0
680216,0,0.0
690216,0,0.0
700220,215,0.0
710220,215,2.0
720228,215,7.0
730236,215,14.0
740236,215,22.0
750236,215,30.0
760240,215,39.0
770240,215,49.0
780240,215,58.0
790240,215,68.0
800240,215,77.0
810244,215,87.0
820244,215,97.0
830252,215,106.0
840252,215,116.0
850256,215,126.0
860256,215,135.0
870260,215,145.0
880260,215,155.0
890268,215,164.0
900268,215,174.0
910268,215,184.0
920268,215,194.0
930268,215,203.0
940268,215,213.0
950268,215,223.0
960272,215,233.0
970272,215,243.0
980280,215,252.0
990280,215,262.0
1000284,215,272.0
1010284,215,282.0
1020284,215,291.0
1030288,215,301.0
1040292,215,311.0
1050292,215,321.0
1060300,215,331.0
1070304,215,340.0
1080308,215,350.0
1090308,215,360.0
1100312,215,370.0
1110312,215,379.0
1120316,215,389.0
1130320,215,399.0
1140324,215,409.0
1150332,215,418.0
1160336,215,428.0
1170336,215,438.0
1180340,215,448.0
1190348,215,458.0
1200356,215,467.0
1210360,215,477.0
1220364,215,487.0
1230368,215,497.0
1240372,215,506.0
1250376,215,516.0
1260380,215,526.0
1270384,215,536.0
1280384,215,545.0
1290388,215,555.0
1300392,215,565.0
1310392,215,575.0
1320392,215,585.0
1330396,215,594.0
1340400,215,604.0
1350404,215,614.0
1360408,215,624.0
1370416,215,633.0
1380416,215,643.0
1390420,215,653.0
1400420,-156,663.0
1410424,-156,669.0
1420428,-156,670.0
1430432,-156,667.0
1440436,-156,663.0
1450440,-156,658.0
1460444,-156,651.0
1470444,-156,645.0
1480448,-156,638.0
1490452,-156,632.0
1500456,-156,625.0
1510460,-156,618.0
1520464,-156,611.0
1530468,-156,604.0
1540476,-156,597.0
1550476,-156,590.0
1560480,-156,583.0
1570484,-156,576.0
1580488,-156,569.0
1590492,-156,562.0
1600496,-156,555.0
1610496,-156,548.0
1620500,-156,541.0
1630504,-156,534.0
1640508,-156,527.0
1650508,-156,520.0
1660512,-156,513.0
1670516,-156,506.0
1680520,-156,499.0
1690520,-156,492.0
1700520,-156,485.0
1710524,-156,478.0
1720528,-156,471.0
1730532,-156,464.0
1740532,-156,457.0
1750536,-156,450.0
1760544,-156,443.0
1770544,-156,436.0
1780548,-156,429.0
1790552,-156,422.0
1800560,-156,415.0
1810560,-156,408.0
1820564,-156,401.0
1830564,-156,394.0
1840572,-156,387.0
1850576,-156,380.0
1860576,-156,373.0
1870580,-156,366.0
1880580,-156,359.0
1890580,-156,352.0
1900580,-156,345.0
1910584,-156,338.0
1920588,-156,331.0
1930592,-156,324.0
1940596,-156,317.0
1950600,-156,310.0
1960600,-156,303.0
1970600,-156,296.0
1980600,-156,289.0
1990604,-156,282.0
2000608,-156,275.0
2010608,-156,268.0
2020616,-156,261.0
2030616,-156,254.0
2040620,-156,247.0
2050624,-156,240.0
2060628,-156,233.0
2070632,-156,226.0
2080632,-156,219.0
2090636,-156,212.0
2100636,-143,205.0
2110640,-143,198.0
2120640,-143,192.0
2130644,-143,185.0
2140652,-143,179.0
2150660,-143,172.0
2160660,-143,166.0
2170664,-143,159.0
2180664,-143,153.0
2190664,-143,146.0
2200664,-143,140.0
2210668,-143,134.0
2220672,-143,127.0
2230680,-143,121.0
2240680,-143,114.0
2250684,-143,108.0
2260684,-143,101.0
2270696,-143,95.0
2280704,-143,89.0
2290704,-143,82.0
2300708,-143,76.0
2310708,-143,69.0
2320712,-143,63.0
2330712,-143,57.0
2340716,-143,50.0
2350716,-143,44.0
2360724,-143,37.0
2370724,-143,31.0
2380724,-143,25.0
2390728,-143,18.0
2400732,-143,12.0
2410732,-143,5.0
2420732,-143,-1.0
2430740,-143,-7.0
2440744,-143,-14.0
2450744,-143,-20.0
2460748,-143,-27.0
2470756,-143,-33.0
2480760,-143,-40.0
2490768,-143,-46.0
2500772,-143,-52.0
2510780,-143,-59.0
2520784,-143,-65.0
2530792,-143,-72.0
2540792,-143,-78.0
2550796,-143,-84.0
2560804,-143,-91.0
2570808,-143,-97.0
2580816,-143,-104.0
2590816,-143,-110.0
2600824,-143,-116.0
2610828,-143,-123.0
2620836,-143,-129.0
2630840,-143,-136.0
2640844,-143,-142.0
2650848,-143,-149.0
2660852,-143,-155.0
2670852,-143,-161.0
2680856,-143,-168.0
2690860,-143,-174.0
2700864,-143,-181.0
2710872,-143,-187.0
2720876,-143,-193.0
2730880,-143,-200.0
2740884,-143,-206.0
2750892,-143,-213.0
2760896,-143,-219.0
2770904,-143,-225.0
2780908,-143,-232.0
2790912,-143,-238.0
2800912,-225,-245.0
2810916,-225,-252.0
2820920,-225,-260.0
2830920,-225,-269.0
