time_us,pwm,pos
23101292,236,-1222.0
23201300,236,-1144.0
23301300,236,-1037.0
23401308,236,-929.0
23501316,236,-822.0
23601320,236,-715.0
23701324,236,-607.0
23801324,-86,-500.0
23901324,-86,-512.0
24001328,-86,-550.0
24101328,-86,-588.0
24201336,-86,-626.0
24301340,-86,-664.0
24401344,-86,-702.0
24501352,-127,-740.0
24601356,-127,-793.0
24701356,-127,-850.0
24801364,-127,-906.0
24901372,-127,-963.0
25001376,-127,-1019.0
25101380,-127,-1076.0
25201384,-150,-1132.0
25301392,-150,-1197.0
25401392,-150,-1264.0
25501400,-150,-1331.0
25601408,-150,-1398.0
25701412,-150,-1466.0
25801412,-150,-1533.0
25901412,240,-1600.0
26001420,240,-1526.0
26101424,240,-1417.0
26201428,240,-1308.0
26301436,240,-1199.0
26401440,240,-1090.0
26501440,240,-981.0
26601444,-69,-872.0
26701448,-69,-876.0
26801452,-69,-907.0
26901460,-69,-937.0
27001464,-69,-967.0
27101468,-69,-998.0
27201476,-69,-1028.0
27301484,-233,-1058.0
27401488,-233,-1148.0
27501492,-233,-1252.0
27601496,-233,-1356.0
27701496,-233,-1460.0
27801496,-233,-1565.0
27901500,-233,-1669.0
28001500,-235,-1774.0
28101504,-235,-1879.0
28201508,-235,-1984.0
28301512,-235,-2089.0
28401516,-235,-2195.0
28501520,-235,-2300.0
28601520,-235,-2405.0
28701520,-241,-2511.0
28801524,-241,-2618.0
28901528,-241,-2726.0
29001532,-241,-2834.0
29101536,-241,-2942.0
29201544,-241,-3050.0
29301544,-241,-3158.0
29401548,248,-3266.0
29501548,248,-3197.0
29601556,248,-3085.0
29701556,248,-2972.0
29801556,248,-2859.0
29901556,248,-2746.0
30001560,248,-2633.0
30101560,-193,-2520.0
30201568,-193,-2569.0
30301576,-193,-2655.0
30401576,-193,-2741.0
30501580,-193,-2828.0
30601588,-193,-2914.0
30701588,-193,-3000.0
30801592,105,-3087.0
30901592,105,-3063.0
31001596,105,-3016.0
31101604,105,-2969.0
31201604,105,-2921.0
31301608,105,-2874.0
31401612,105,-2827.0
31501620,-92,-2779.0
31601628,-92,-2806.0
31701628,-92,-2847.0
31801636,-92,-2888.0
31901636,-92,-2929.0
32001640,-92,-2969.0
32101644,-92,-3010.0
32201644,224,-3051.0
32301644,224,-2977.0
32401652,224,-2876.0
32501652,224,-2774.0
32601656,224,-2672.0
32701660,224,-2570.0
32801664,224,-2469.0
32901684,-116,-2367.0
33001688,-116,-2389.0
33101688,-116,-2441.0
33201696,-116,-2493.0
33301704,-116,-2544.0
33401708,-116,-2596.0
33501712,-116,-2648.0
33601720,-116,-2699.0
33701728,141,-2658.0
33801728,141,-2594.0
33901732,141,-2530.0
34001736,141,-2467.0
34101736,141,-2403.0
34201744,141,-2339.0
34301744,182,-2275.0
34401744,182,-2196.0
34501748,182,-2114.0
34601756,182,-2031.0
34701764,182,-1949.0
34801764,182,-1866.0
34901772,182,-1783.0
35001916,148,-1701.0
35101916,148,-1630.0
35201916,148,-1563.0
35301924,148,-1496.0
35401928,148,-1429.0
35501936,148,-1362.0
35601936,148,-1295.0
35701940,-226,-1227.0
35801940,-226,-1296.0
35901944,-226,-1397.0
36001944,-226,-1498.0
36101960,-226,-1600.0
36201964,-226,-1701.0
36301964,-226,-1802.0
36401972,-233,-1903.0
36501976,-233,-2007.0
36601976,-233,-2111.0
36701980,-233,-2215.0
36801984,-233,-2320.0
36901992,-233,-2424.0
37001996,-233,-2529.0
37102136,-156,-2633.0
37202140,-156,-2711.0
37302144,-156,-2781.0
37402152,-156,-2851.0
37502160,-156,-2921.0
37602168,-156,-2991.0
37702172,-156,-3060.0
37802176,-166,-3130.0
37902180,-166,-3203.0
38002180,-166,-3278.0
38102180,-166,-3352.0
38202180,-166,-3426.0
38302184,-166,-3501.0
38402192,-166,-3575.0
38502192,99,-3649.0
38602200,99,-3625.0
38702200,99,-3581.0
38802208,99,-3536.0
38902212,99,-3491.0
39002216,99,-3447.0
39102220,99,-3402.0
39202228,239,-3357.0
39302232,239,-3262.0
39402240,239,-3153.0
39502248,239,-3045.0
39602248,239,-2936.0
39702256,239,-2827.0
39802264,239,-2718.0
39902264,124,-2610.0
40002264,124,-2542.0
40102272,124,-2486.0
40202272,124,-2430.0
40302280,124,-2373.0
40402288,124,-2317.0
40502292,124,-2261.0
40602296,209,-2205.0
40702296,209,-2119.0
40802304,209,-2024.0
40902312,209,-1928.0
41002312,209,-1833.0
41102320,209,-1738.0
41202324,209,-1643.0
41302328,-103,-1548.0
41402328,-103,-1569.0
41502328,-103,-1615.0
41602328,-103,-1661.0
41702336,-103,-1706.0
41802336,-103,-1752.0
41902336,-103,-1798.0
42002336,-98,-1844.0
42102336,-98,-1888.0
42202340,-98,-1931.0
42302340,-98,-1975.0
42402340,-98,-2018.0
42502344,-98,-2062.0
42602344,-98,-2106.0
42702352,100,-2149.0
42802360,100,-2119.0
42902364,100,-2074.0
43002372,100,-2029.0
43102372,100,-1985.0
43202376,100,-1940.0
43302380,100,-1895.0
43402380,-61,-1850.0
43502384,-61,-1866.0
43602384,-61,-1893.0
43702388,-61,-1920.0
43802392,-61,-1946.0
43902392,-61,-1973.0
44002400,-61,-2000.0
44102408,-172,-2027.0
44202416,-172,-2094.0
44302420,-172,-2171.0
44402420,-172,-2247.0
44502420,-172,-2325.0
44602424,-172,-2401.0
44702424,-172,-2478.0
44802424,166,-2555.0
44902424,166,-2507.0
45002428,166,-2432.0
45102432,166,-2356.0
45202436,166,-2281.0
45302436,166,-2206.0
45402444,166,-2130.0
45502444,222,-2055.0
45602444,222,-1960.0
45702448,222,-1859.0
45802448,222,-1758.0
45902452,222,-1657.0
46002460,222,-1556.0
46102460,222,-1455.0
46202460,78,-1354.0
46302468,78,-1305.0
46402472,78,-1270.0
46502476,78,-1236.0
46602484,78,-1201.0
46702484,78,-1166.0
46802488,78,-1131.0
46902488,-251,-1096.0
47002492,-251,-1180.0
47102492,-251,-1292.0
47202500,-251,-1404.0
47302508,-251,-1517.0
47402508,-251,-1629.0
47502512,-251,-1742.0
47602516,-76,-1854.0
47702524,-76,-1905.0
47802524,-76,-1939.0
47902532,-76,-1972.0
48002540,-76,-2006.0
48102540,-76,-2039.0
48202544,-76,-2073.0
48302552,79,-2106.0
48402556,79,-2082.0
48502556,79,-2046.0
48602560,79,-2011.0
48702564,79,-1975.0
48802568,79,-1939.0
48902568,79,-1903.0
49002568,-193,-1867.0
49102572,-193,-1931.0
49202580,-193,-2017.0
49302588,-193,-2104.0
49402592,-193,-2190.0
49502600,-193,-2277.0
49602600,-193,-2363.0
49702604,-158,-2449.0
49802608,-158,-2524.0
49902608,-158,-2594.0
50002612,-158,-2665.0
50102620,-158,-2736.0
50202624,-158,-2807.0
50302632,-158,-2877.0
50402632,237,-2948.0
50502632,237,-2874.0
50602640,237,-2767.0
50702644,237,-2659.0
50802652,237,-2551.0
50902660,237,-2443.0
51002664,237,-2335.0
51102664,-166,-2227.0
51202664,-166,-2268.0
51302668,-166,-2342.0
51402668,-166,-2416.0
51502672,-166,-2490.0
51602680,-166,-2565.0
51702680,-166,-2639.0
51802684,-249,-2713.0
51902684,-249,-2816.0
52002688,-249,-2928.0
52102688,-249,-3040.0
52202692,-249,-3151.0
52302692,-249,-3263.0
52402696,-249,-3374.0
52502704,-196,-3486.0
52602712,-196,-3580.0
52702716,-196,-3669.0
52802716,-196,-3759.0
52902720,-196,-3848.0
53002720,-196,-3938.0
53102728,-196,-4027.0
53202732,-153,-4117.0
53302732,-153,-4190.0
53402732,-153,-4259.0
53502732,-153,-4327.0
53602736,-153,-4395.0
53702740,-153,-4464.0
53802744,-153,-4532.0
53902748,-175,-4601.0
54002756,-175,-4677.0
54102756,-175,-4756.0
54202756,-175,-4834.0
54302760,-175,-4912.0
54402760,-175,-4991.0
54502768,-175,-5069.0
54602772,184,-5148.0
54702776,184,-5093.0
54802776,184,-5010.0
54902776,184,-4926.0
55002784,184,-4843.0
55102784,184,-4759.0
55202784,184,-4676.0
55302792,-168,-4592.0
55402796,-168,-4638.0
55502800,-168,-4713.0
55602800,-168,-4789.0
55702808,-168,-4864.0
55802812,-168,-4939.0
55902812,-168,-5014.0
56002812,161,-5089.0
56102820,161,-5043.0
56202824,161,-4971.0
56302824,161,-4898.0
56402828,161,-4825.0
56502832,161,-4752.0
56602832,161,-4679.0
56702840,-208,-4606.0
56802840,-208,-4669.0
56902848,-208,-4762.0
57002848,-208,-4855.0
57102848,-208,-4948.0
57202856,-208,-5041.0
57302856,-208,-5135.0
57402860,-210,-5228.0
57502864,-210,-5322.0
57602864,-210,-5416.0
57702864,-210,-5510.0
57802868,-210,-5604.0
57902868,-210,-5698.0
58002868,-210,-5792.0
58102872,167,-5887.0
58202880,167,-5841.0
58302884,167,-5766.0
58402888,167,-5690.0
58502888,167,-5614.0
58602892,167,-5538.0
58702896,167,-5462.0
58802900,222,-5387.0
58902908,222,-5291.0
59002916,222,-5190.0
59102916,222,-5089.0
59202932,222,-4988.0
59302936,222,-4887.0
59402940,222,-4786.0
59502952,-237,-4685.0
59602960,-237,-4751.0
59702964,-237,-4857.0
59802972,-237,-4963.0
59902976,-237,-5070.0
60002980,-237,-5176.0
60102980,-237,-5282.0
60202984,163,-5388.0
60302984,163,-5348.0
60402984,163,-5274.0
60502988,163,-5200.0
60602992,163,-5126.0
