time_us,pwm,pos
100004,150,0.0
200004,150,1.0
300012,150,2.0
400020,150,2.0
500024,150,3.0
600024,150,3.0
700028,150,4.0
800036,150,4.0
900048,150,5.0
1000056,150,5.0
1100060,150,6.0
1200064,150,6.0
1300068,150,7.0
1400072,150,8.0
